code,currency,sec_min,sec_rate,cus_min,cus_rate,truck_bulk_min,truck_bulk_fee_mawb,truck_bulk_rate,truck_uld_min,truck_uld_fee,thc_gen_min,thc_gen_rate,thc_dg_min,thc_dg_rate,thc_pha_min,thc_pha_rate,st_gen_mawb_fee,st_gen_rate_1_20,st_gen_rate_21plus,st_gen_free_days,st_cool_mawb_fee,st_cool_rate_1_20,st_cool_rate_21plus,st_cool_free_days,st_dg_mawb_fee,st_dg_rate_1_20,st_dg_rate_21plus,st_dg_free_days,imp_doc_min,imp_doc_fee
IST,EUR,28.08,0.21,36.48,0.15,45.08,40.08,0.14,0.0,36.48,1.13,0.038,1.58,0.041,1.58,0.041,41.4,12.7,23.9,5.0,44.0,21.0,31.0,4.0,44.0,14.0,23.7,6.0,0.0,38.0
JED,EUR,28.21,0.34,36.61,0.28,45.21,40.21,0.27,0.0,36.61,1.26,0.051,1.71,0.054,1.71,0.054,48.4,19.7,30.9,5.0,51.0,28.0,38.0,4.0,51.0,21.0,30.7,6.0,0.0,0.0
LIS,EUR,28.09,0.22,36.49,0.16,45.09,40.09,0.15,0.0,36.49,1.14,0.039,1.59,0.042,1.59,0.042,39.4,10.7,21.9,5.0,42.0,19.0,29.0,4.0,42.0,12.0,21.7,6.0,0.0,38.0
MAD,EUR,28.1,0.23,36.5,0.17,45.1,40.1,0.16,0.0,36.5,1.15,0.04,1.6,0.043,1.6,0.043,42.4,13.7,24.9,5.0,45.0,22.0,32.0,4.0,45.0,15.0,24.7,6.0,0.0,38.0
MLA,EUR,28.11,0.24,36.51,0.18,45.11,40.11,0.17,0.0,36.51,1.16,0.041,1.61,0.044,1.61,0.044,40.4,11.7,22.9,5.0,43.0,20.0,30.0,4.0,43.0,13.0,22.7,6.0,0.0,38.0
MRS,EUR,28.12,0.25,36.52,0.19,45.12,40.12,0.18,0.0,36.52,1.17,0.042,1.62,0.045,1.62,0.045,43.4,14.7,25.9,5.0,46.0,23.0,33.0,4.0,46.0,16.0,25.7,6.0,0.0,38.0
NKC,EUR,28.13,0.26,36.53,0.2,45.13,40.13,0.19,0.0,36.53,1.18,0.043,1.63,0.046,1.63,0.046,41.4,12.7,23.9,5.0,44.0,21.0,31.0,4.0,44.0,14.0,23.7,6.0,0.0,38.0
PUS,EUR,28.2,0.33,36.6,0.27,45.2,40.2,0.26,0.0,36.6,1.25,0.05,1.7,0.053,1.7,0.053,45.4,16.7,27.9,5.0,48.0,25.0,35.0,4.0,48.0,18.0,27.7,6.0,0.0,0.0
TIA,EUR,28.22,0.35,36.62,0.29,45.22,40.22,0.28,0.0,36.62,1.27,0.052,1.72,0.055,1.72,0.055,49.4,20.7,31.9,5.0,52.0,29.0,39.0,4.0,52.0,22.0,31.7,6.0,0.0,38.0
TIP,EUR,28.16,0.29,36.56,0.23,45.16,40.16,0.22,0.0,36.56,1.21,0.046,1.66,0.049,1.66,0.049,45.4,16.7,27.9,5.0,48.0,25.0,35.0,4.0,48.0,18.0,27.7,6.0,0.0,38.0
TLV,EUR,28.14,0.27,36.54,0.21,45.14,40.14,0.2,0.0,36.54,1.19,0.044,1.64,0.047,1.64,0.047,44.4,15.7,26.9,5.0,47.0,24.0,34.0,4.0,47.0,17.0,26.7,6.0,0.0,38.0
TUN,EUR,28.15,0.28,36.55,0.22,45.15,40.15,0.21,0.0,36.55,1.2,0.045,1.65,0.048,1.65,0.048,42.4,13.7,24.9,5.0,45.0,22.0,32.0,4.0,45.0,15.0,24.7,6.0,0.0,38.0
VLC,EUR,28.17,0.3,36.57,0.24,45.17,40.17,0.23,0.0,36.57,1.22,0.047,1.67,0.05,1.67,0.05,43.4,14.7,25.9,5.0,46.0,23.0,33.0,4.0,46.0,16.0,25.7,6.0,0.0,38.0
