origin,destination,minimum,rate_under_100,rate_100_299,rate_300_499,rate_500_plus
BEY,TLV,125.0,7.0,6.15,6.0,5.5
BEY,TUN,60.0,4.8,3.0,3.0,2.5
BEY,TIP,100.0,5.9,2.6,2.15,2.0
BEY,VLC,56.0,6.5,3.25,3.25,2.63
BEY,BKK,40.0,3.5,2.5,2.0,1.9
BEY,DXB,40.0,2.7,2.35,2.05,1.85
BEY,BOM,49.0,3.25,1.35,1.35,1.35
BEY,JED,40.0,2.7,2.5,2.25,2.1
BEY,PUS,40.0,3.5,2.1,1.8,1.6
BEY,HKG,40.0,3.5,2.1,1.8,1.6
BEY,TIA,40.0,3.5,2.1,1.8,1.6
BEY,AMS,40.0,3.5,2.1,1.8,1.6
CAI,ALG,105.0,5.8,5.15,5.0,4.75
CAI,AMM,65.0,4.15,3.65,3.17,3.0
CAI,ATH,30.0,4.0,2.2,2.2,2.2
CAI,BCN,40.0,4.32,2.1,2.0,1.85
CAI,BEY,55.0,5.75,1.9,1.9,1.9
CAI,CMN,70.0,4.5,4.0,3.7,3.6
CAI,FCO,60.0,4.2,3.0,3.0,3.0
CAI,IST,75.0,6.53,4.5,3.6,3.38
CAI,LIS,45.0,9.45,3.0,3.0,3.0
CAI,MAD,45.0,5.55,2.6,2.6,2.1
CAI,MLA,37.0,7.0,3.3,3.15,2.89
CAI,MRS,60.0,4.8,3.0,3.0,2.5
CAI,NKC,105.0,6.75,6.0,6.0,5.5
CAI,TLV,125.0,7.0,6.15,6.0,5.5
CAI,TUN,60.0,4.8,3.0,3.0,2.5
CAI,TIP,100.0,5.9,2.6,2.15,2.0
CAI,VLC,56.0,6.5,3.25,3.25,2.63
CAI,BKK,40.0,3.5,2.5,2.0,1.9
CAI,DXB,40.0,2.7,2.35,2.05,1.85
CAI,BOM,49.0,3.25,1.35,1.35,1.35
CAI,JED,40.0,2.7,2.5,2.25,2.1
CAI,PUS,40.0,3.5,2.1,1.8,1.6
CAI,HKG,40.0,3.5,2.1,1.8,1.6
CAI,TIA,40.0,3.5,2.1,1.8,1.6
CAI,AMS,40.0,3.5,2.1,1.8,1.6
CMN,ALG,105.0,5.8,5.15,5.0,4.75
CMN,AMM,65.0,4.15,3.65,3.17,3.0
CMN,ATH,30.0,4.0,2.2,2.2,2.2
CMN,BCN,40.0,4.32,2.1,2.0,1.85
CMN,BEY,55.0,5.75,1.9,1.9,1.9
CMN,CAI,60.0,4.05,3.45,3.0,2.78
CMN,FCO,60.0,4.2,3.0,3.0,3.0
CMN,IST,75.0,6.53,4.5,3.6,3.38
CMN,LIS,45.0,9.45,3.0,3.0,3.0
CMN,MAD,45.0,5.55,2.6,2.6,2.1
CMN,MLA,37.0,7.0,3.3,3.15,2.89
CMN,MRS,60.0,4.8,3.0,3.0,2.5
CMN,NKC,105.0,6.75,6.0,6.0,5.5
CMN,TLV,125.0,7.0,6.15,6.0,5.5
CMN,TUN,60.0,4.8,3.0,3.0,2.5
CMN,TIP,100.0,5.9,2.6,2.15,2.0
CMN,VLC,56.0,6.5,3.25,3.25,2.63
CMN,BKK,40.0,3.5,2.5,2.0,1.9
CMN,DXB,40.0,2.7,2.35,2.05,1.85
CMN,BOM,49.0,3.25,1.35,1.35,1.35
CMN,JED,40.0,2.7,2.5,2.25,2.1
CMN,PUS,40.0,3.5,2.1,1.8,1.6
CMN,HKG,40.0,3.5,2.1,1.8,1.6
CMN,TIA,40.0,3.5,2.1,1.8,1.6
CMN,AMS,40.0,3.5,2.1,1.8,1.6
FCO,ALG,105.0,5.8,5.15,5.0,4.75
FCO,AMM,65.0,4.15,3.65,3.17,3.0
FCO,ATH,30.0,4.0,2.2,2.2,2.2
FCO,BCN,40.0,4.32,2.1,2.0,1.85
FCO,BEY,55.0,5.75,1.9,1.9,1.9
FCO,CAI,60.0,4.05,3.45,3.0,2.78
FCO,CMN,70.0,4.5,4.0,3.7,3.6
FCO,IST,75.0,6.53,4.5,3.6,3.38
FCO,LIS,45.0,9.45,3.0,3.0,3.0
FCO,MAD,45.0,5.55,2.6,2.6,2.1
FCO,MLA,37.0,7.0,3.3,3.15,2.89
FCO,MRS,60.0,4.8,3.0,3.0,2.5
FCO,NKC,105.0,6.75,6.0,6.0,5.5
FCO,TLV,125.0,7.0,6.15,6.0,5.5
FCO,TUN,60.0,4.8,3.0,3.0,2.5
FCO,TIP,100.0,5.9,2.6,2.15,2.0
FCO,VLC,56.0,6.5,3.25,3.25,2.63
FCO,BKK,40.0,3.5,2.5,2.0,1.9
FCO,DXB,40.0,2.7,2.35,2.05,1.85
FCO,BOM,49.0,3.25,1.35,1.35,1.35
FCO,JED,40.0,2.7,2.5,2.25,2.1
FCO,PUS,40.0,3.5,2.1,1.8,1.6
FCO,HKG,40.0,3.5,2.1,1.8,1.6
FCO,TIA,40.0,3.5,2.1,1.8,1.6
FCO,AMS,40.0,3.5,2.1,1.8,1.6
IST,ALG,105.0,5.8,5.15,5.0,4.75
IST,AMM,65.0,4.15,3.65,3.17,3.0
IST,ATH,30.0,4.0,2.2,2.2,2.2
IST,BCN,40.0,4.32,2.1,2.0,1.85
IST,BEY,55.0,5.75,1.9,1.9,1.9
IST,CAI,60.0,4.05,3.45,3.0,2.78
IST,CMN,70.0,4.5,4.0,3.7,3.6
IST,FCO,60.0,4.2,3.0,3.0,3.0
IST,LIS,45.0,9.45,3.0,3.0,3.0
IST,MAD,45.0,5.55,2.6,2.6,2.1
IST,MLA,37.0,7.0,3.3,3.15,2.89
IST,MRS,60.0,4.8,3.0,3.0,2.5
IST,NKC,105.0,6.75,6.0,6.0,5.5
IST,TLV,125.0,7.0,6.15,6.0,5.5
IST,TUN,60.0,4.8,3.0,3.0,2.5
IST,TIP,100.0,5.9,2.6,2.15,2.0
IST,VLC,56.0,6.5,3.25,3.25,2.63
IST,BKK,40.0,3.5,2.5,2.0,1.9
IST,DXB,40.0,2.7,2.35,2.05,1.85
IST,BOM,49.0,3.25,1.35,1.35,1.35
IST,JED,40.0,2.7,2.5,2.25,2.1
IST,PUS,40.0,3.5,2.1,1.8,1.6
IST,HKG,40.0,3.5,2.1,1.8,1.6
IST,TIA,40.0,3.5,2.1,1.8,1.6
IST,AMS,40.0,3.5,2.1,1.8,1.6
LIS,ALG,105.0,5.8,5.15,5.0,4.75
LIS,AMM,65.0,4.15,3.65,3.17,3.0
LIS,ATH,30.0,4.0,2.2,2.2,2.2
LIS,BCN,40.0,4.32,2.1,2.0,1.85
LIS,BEY,55.0,5.75,1.9,1.9,1.9
LIS,CAI,60.0,4.05,3.45,3.0,2.78
LIS,CMN,70.0,4.5,4.0,3.7,3.6
LIS,FCO,60.0,4.2,3.0,3.0,3.0
LIS,IST,75.0,6.53,4.5,3.6,3.38
LIS,MAD,45.0,5.55,2.6,2.6,2.1
LIS,MLA,37.0,7.0,3.3,3.15,2.89
LIS,MRS,60.0,4.8,3.0,3.0,2.5
LIS,NKC,105.0,6.75,6.0,6.0,5.5
LIS,TLV,125.0,7.0,6.15,6.0,5.5
LIS,TUN,60.0,4.8,3.0,3.0,2.5
LIS,TIP,100.0,5.9,2.6,2.15,2.0
LIS,VLC,56.0,6.5,3.25,3.25,2.63
LIS,BKK,40.0,3.5,2.5,2.0,1.9
LIS,DXB,40.0,2.7,2.35,2.05,1.85
LIS,BOM,49.0,3.25,1.35,1.35,1.35
LIS,JED,40.0,2.7,2.5,2.25,2.1
LIS,PUS,40.0,3.5,2.1,1.8,1.6
LIS,HKG,40.0,3.5,2.1,1.8,1.6
LIS,TIA,40.0,3.5,2.1,1.8,1.6
LIS,AMS,40.0,3.5,2.1,1.8,1.6
MAD,ALG,105.0,5.8,5.15,5.0,4.75
MAD,AMM,65.0,4.15,3.65,3.17,3.0
MAD,ATH,30.0,4.0,2.2,2.2,2.2
MAD,BCN,40.0,4.32,2.1,2.0,1.85
MAD,BEY,55.0,5.75,1.9,1.9,1.9
MAD,CAI,60.0,4.05,3.45,3.0,2.78
MAD,CMN,70.0,4.5,4.0,3.7,3.6
MAD,FCO,60.0,4.2,3.0,3.0,3.0
MAD,IST,75.0,6.53,4.5,3.6,3.38
MAD,LIS,45.0,9.45,3.0,3.0,3.0
MAD,MLA,37.0,7.0,3.3,3.15,2.89
MAD,MRS,60.0,4.8,3.0,3.0,2.5
MAD,NKC,105.0,6.75,6.0,6.0,5.5
MAD,TLV,125.0,7.0,6.15,6.0,5.5
MAD,TUN,60.0,4.8,3.0,3.0,2.5
MAD,TIP,100.0,5.9,2.6,2.15,2.0
MAD,VLC,56.0,6.5,3.25,3.25,2.63
MAD,BKK,40.0,3.5,2.5,2.0,1.9
MAD,DXB,40.0,2.7,2.35,2.05,1.85
MAD,BOM,49.0,3.25,1.35,1.35,1.35
MAD,JED,40.0,2.7,2.5,2.25,2.1
MAD,PUS,40.0,3.5,2.1,1.8,1.6
MAD,HKG,40.0,3.5,2.1,1.8,1.6
MAD,TIA,40.0,3.5,2.1,1.8,1.6
MAD,AMS,40.0,3.5,2.1,1.8,1.6
MLA,ALG,105.0,5.8,5.15,5.0,4.75
MLA,AMM,65.0,4.15,3.65,3.17,3.0
MLA,ATH,30.0,4.0,2.2,2.2,2.2
MLA,BCN,40.0,4.32,2.1,2.0,1.85
MLA,BEY,55.0,5.75,1.9,1.9,1.9
MLA,CAI,60.0,4.05,3.45,3.0,2.78
MLA,CMN,70.0,4.5,4.0,3.7,3.6
MLA,FCO,60.0,4.2,3.0,3.0,3.0
MLA,IST,75.0,6.53,4.5,3.6,3.38
MLA,LIS,45.0,9.45,3.0,3.0,3.0
MLA,MAD,45.0,5.55,2.6,2.6,2.1
MLA,MRS,60.0,4.8,3.0,3.0,2.5
MLA,NKC,105.0,6.75,6.0,6.0,5.5
MLA,TLV,125.0,7.0,6.15,6.0,5.5
MLA,TUN,60.0,4.8,3.0,3.0,2.5
MLA,TIP,100.0,5.9,2.6,2.15,2.0
MLA,VLC,56.0,6.5,3.25,3.25,2.63
MLA,BKK,40.0,3.5,2.5,2.0,1.9
MLA,DXB,40.0,2.7,2.35,2.05,1.85
MLA,BOM,49.0,3.25,1.35,1.35,1.35
MLA,JED,40.0,2.7,2.5,2.25,2.1
MLA,PUS,40.0,3.5,2.1,1.8,1.6
MLA,HKG,40.0,3.5,2.1,1.8,1.6
MLA,TIA,40.0,3.5,2.1,1.8,1.6
MLA,AMS,40.0,3.5,2.1,1.8,1.6
MRS,ALG,105.0,5.8,5.15,5.0,4.75
MRS,AMM,65.0,4.15,3.65,3.17,3.0
MRS,ATH,30.0,4.0,2.2,2.2,2.2
MRS,BCN,40.0,4.32,2.1,2.0,1.85
MRS,BEY,55.0,5.75,1.9,1.9,1.9
MRS,CAI,60.0,4.05,3.45,3.0,2.78
MRS,CMN,70.0,4.5,4.0,3.7,3.6
MRS,FCO,60.0,4.2,3.0,3.0,3.0
MRS,IST,75.0,6.53,4.5,3.6,3.38
MRS,LIS,45.0,9.45,3.0,3.0,3.0
MRS,MAD,45.0,5.55,2.6,2.6,2.1
MRS,MLA,37.0,7.0,3.3,3.15,2.89
MRS,NKC,105.0,6.75,6.0,6.0,5.5
MRS,TLV,125.0,7.0,6.15,6.0,5.5
MRS,TUN,60.0,4.8,3.0,3.0,2.5
MRS,TIP,100.0,5.9,2.6,2.15,2.0
MRS,VLC,56.0,6.5,3.25,3.25,2.63
MRS,BKK,40.0,3.5,2.5,2.0,1.9
MRS,DXB,40.0,2.7,2.35,2.05,1.85
MRS,BOM,49.0,3.25,1.35,1.35,1.35
MRS,JED,40.0,2.7,2.5,2.25,2.1
MRS,PUS,40.0,3.5,2.1,1.8,1.6
MRS,HKG,40.0,3.5,2.1,1.8,1.6
MRS,TIA,40.0,3.5,2.1,1.8,1.6
MRS,AMS,40.0,3.5,2.1,1.8,1.6
NKC,ALG,105.0,5.8,5.15,5.0,4.75
NKC,AMM,65.0,4.15,3.65,3.17,3.0
NKC,ATH,30.0,4.0,2.2,2.2,2.2
NKC,BCN,40.0,4.32,2.1,2.0,1.85
NKC,BEY,55.0,5.75,1.9,1.9,1.9
NKC,CAI,60.0,4.05,3.45,3.0,2.78
NKC,CMN,70.0,4.5,4.0,3.7,3.6
NKC,FCO,60.0,4.2,3.0,3.0,3.0
NKC,IST,75.0,6.53,4.5,3.6,3.38
NKC,LIS,45.0,9.45,3.0,3.0,3.0
NKC,MAD,45.0,5.55,2.6,2.6,2.1
NKC,MLA,37.0,7.0,3.3,3.15,2.89
NKC,MRS,60.0,4.8,3.0,3.0,2.5
NKC,TLV,125.0,7.0,6.15,6.0,5.5
NKC,TUN,60.0,4.8,3.0,3.0,2.5
NKC,TIP,100.0,5.9,2.6,2.15,2.0
NKC,VLC,56.0,6.5,3.25,3.25,2.63
NKC,BKK,40.0,3.5,2.5,2.0,1.9
NKC,DXB,40.0,2.7,2.35,2.05,1.85
NKC,BOM,49.0,3.25,1.35,1.35,1.35
NKC,JED,40.0,2.7,2.5,2.25,2.1
NKC,PUS,40.0,3.5,2.1,1.8,1.6
NKC,HKG,40.0,3.5,2.1,1.8,1.6
NKC,TIA,40.0,3.5,2.1,1.8,1.6
NKC,AMS,40.0,3.5,2.1,1.8,1.6
TLV,ALG,105.0,5.8,5.15,5.0,4.75
TLV,AMM,65.0,4.15,3.65,3.17,3.0
TLV,ATH,30.0,4.0,2.2,2.2,2.2
TLV,BCN,40.0,4.32,2.1,2.0,1.85
TLV,BEY,55.0,5.75,1.9,1.9,1.9
TLV,CAI,60.0,4.05,3.45,3.0,2.78
TLV,CMN,70.0,4.5,4.0,3.7,3.6
TLV,FCO,60.0,4.2,3.0,3.0,3.0
TLV,IST,75.0,6.53,4.5,3.6,3.38
TLV,LIS,45.0,9.45,3.0,3.0,3.0
TLV,MAD,45.0,5.55,2.6,2.6,2.1
TLV,MLA,37.0,7.0,3.3,3.15,2.89
TLV,MRS,60.0,4.8,3.0,3.0,2.5
TLV,NKC,105.0,6.75,6.0,6.0,5.5
TLV,TUN,60.0,4.8,3.0,3.0,2.5
TLV,TIP,100.0,5.9,2.6,2.15,2.0
TLV,VLC,56.0,6.5,3.25,3.25,2.63
TLV,BKK,40.0,3.5,2.5,2.0,1.9
TLV,DXB,40.0,2.7,2.35,2.05,1.85
TLV,BOM,49.0,3.25,1.35,1.35,1.35
TLV,JED,40.0,2.7,2.5,2.25,2.1
TLV,PUS,40.0,3.5,2.1,1.8,1.6
TLV,HKG,40.0,3.5,2.1,1.8,1.6
TLV,TIA,40.0,3.5,2.1,1.8,1.6
TLV,AMS,40.0,3.5,2.1,1.8,1.6
TUN,ALG,105.0,5.8,5.15,5.0,4.75
TUN,AMM,65.0,4.15,3.65,3.17,3.0
TUN,ATH,30.0,4.0,2.2,2.2,2.2
TUN,BCN,40.0,4.32,2.1,2.0,1.85
TUN,BEY,55.0,5.75,1.9,1.9,1.9
TUN,CAI,60.0,4.05,3.45,3.0,2.78
TUN,CMN,70.0,4.5,4.0,3.7,3.6
TUN,FCO,60.0,4.2,3.0,3.0,3.0
TUN,IST,75.0,6.53,4.5,3.6,3.38
TUN,LIS,45.0,9.45,3.0,3.0,3.0
TUN,MAD,45.0,5.55,2.6,2.6,2.1
TUN,MLA,37.0,7.0,3.3,3.15,2.89
TUN,MRS,60.0,4.8,3.0,3.0,2.5
TUN,NKC,105.0,6.75,6.0,6.0,5.5
TUN,TLV,125.0,7.0,6.15,6.0,5.5
TUN,TIP,100.0,5.9,2.6,2.15,2.0
TUN,VLC,56.0,6.5,3.25,3.25,2.63
TUN,BKK,40.0,3.5,2.5,2.0,1.9
TUN,DXB,40.0,2.7,2.35,2.05,1.85
TUN,BOM,49.0,3.25,1.35,1.35,1.35
TUN,JED,40.0,2.7,2.5,2.25,2.1
TUN,PUS,40.0,3.5,2.1,1.8,1.6
TUN,HKG,40.0,3.5,2.1,1.8,1.6
TUN,TIA,40.0,3.5,2.1,1.8,1.6
TUN,AMS,40.0,3.5,2.1,1.8,1.6
TIP,ALG,105.0,5.8,5.15,5.0,4.75
TIP,AMM,65.0,4.15,3.65,3.17,3.0
TIP,ATH,30.0,4.0,2.2,2.2,2.2
TIP,BCN,40.0,4.32,2.1,2.0,1.85
TIP,BEY,55.0,5.75,1.9,1.9,1.9
TIP,CAI,60.0,4.05,3.45,3.0,2.78
TIP,CMN,70.0,4.5,4.0,3.7,3.6
TIP,FCO,60.0,4.2,3.0,3.0,3.0
TIP,IST,75.0,6.53,4.5,3.6,3.38
TIP,LIS,45.0,9.45,3.0,3.0,3.0
TIP,MAD,45.0,5.55,2.6,2.6,2.1
TIP,MLA,37.0,7.0,3.3,3.15,2.89
TIP,MRS,60.0,4.8,3.0,3.0,2.5
TIP,NKC,105.0,6.75,6.0,6.0,5.5
TIP,TLV,125.0,7.0,6.15,6.0,5.5
TIP,TUN,60.0,4.8,3.0,3.0,2.5
TIP,VLC,56.0,6.5,3.25,3.25,2.63
TIP,BKK,40.0,3.5,2.5,2.0,1.9
TIP,DXB,40.0,2.7,2.35,2.05,1.85
TIP,BOM,49.0,3.25,1.35,1.35,1.35
TIP,JED,40.0,2.7,2.5,2.25,2.1
TIP,PUS,40.0,3.5,2.1,1.8,1.6
TIP,HKG,40.0,3.5,2.1,1.8,1.6
TIP,TIA,40.0,3.5,2.1,1.8,1.6
TIP,AMS,40.0,3.5,2.1,1.8,1.6
VLC,ALG,105.0,5.8,5.15,5.0,4.75
VLC,AMM,65.0,4.15,3.65,3.17,3.0
VLC,ATH,30.0,4.0,2.2,2.2,2.2
VLC,BCN,40.0,4.32,2.1,2.0,1.85
VLC,BEY,55.0,5.75,1.9,1.9,1.9
VLC,CAI,60.0,4.05,3.45,3.0,2.78
VLC,CMN,70.0,4.5,4.0,3.7,3.6
VLC,FCO,60.0,4.2,3.0,3.0,3.0
VLC,IST,75.0,6.53,4.5,3.6,3.38
VLC,LIS,45.0,9.45,3.0,3.0,3.0
VLC,MAD,45.0,5.55,2.6,2.6,2.1
VLC,MLA,37.0,7.0,3.3,3.15,2.89
VLC,MRS,60.0,4.8,3.0,3.0,2.5
VLC,NKC,105.0,6.75,6.0,6.0,5.5
VLC,TLV,125.0,7.0,6.15,6.0,5.5
VLC,TUN,60.0,4.8,3.0,3.0,2.5
VLC,TIP,100.0,5.9,2.6,2.15,2.0
VLC,BKK,40.0,3.5,2.5,2.0,1.9
VLC,DXB,40.0,2.7,2.35,2.05,1.85
VLC,BOM,49.0,3.25,1.35,1.35,1.35
VLC,JED,40.0,2.7,2.5,2.25,2.1
VLC,PUS,40.0,3.5,2.1,1.8,1.6
VLC,HKG,40.0,3.5,2.1,1.8,1.6
VLC,TIA,40.0,3.5,2.1,1.8,1.6
VLC,AMS,40.0,3.5,2.1,1.8,1.6
BKK,ALG,105.0,5.8,5.15,5.0,4.75
BKK,AMM,65.0,4.15,3.65,3.17,3.0
BKK,ATH,30.0,4.0,2.2,2.2,2.2
BKK,BCN,40.0,4.32,2.1,2.0,1.85
BKK,BEY,55.0,5.75,1.9,1.9,1.9
BKK,CAI,60.0,4.05,3.45,3.0,2.78
BKK,CMN,70.0,4.5,4.0,3.7,3.6
BKK,FCO,60.0,4.2,3.0,3.0,3.0
BKK,IST,75.0,6.53,4.5,3.6,3.38
BKK,LIS,45.0,9.45,3.0,3.0,3.0
BKK,MAD,45.0,5.55,2.6,2.6,2.1
BKK,MLA,37.0,7.0,3.3,3.15,2.89
BKK,MRS,60.0,4.8,3.0,3.0,2.5
BKK,NKC,105.0,6.75,6.0,6.0,5.5
BKK,TLV,125.0,7.0,6.15,6.0,5.5
BKK,TUN,60.0,4.8,3.0,3.0,2.5
BKK,TIP,100.0,5.9,2.6,2.15,2.0
BKK,VLC,56.0,6.5,3.25,3.25,2.63
BKK,DXB,40.0,2.7,2.35,2.05,1.85
BKK,BOM,49.0,3.25,1.35,1.35,1.35
BKK,JED,40.0,2.7,2.5,2.25,2.1
BKK,PUS,40.0,3.5,2.1,1.8,1.6
BKK,HKG,40.0,3.5,2.1,1.8,1.6
BKK,TIA,40.0,3.5,2.1,1.8,1.6
BKK,AMS,40.0,3.5,2.1,1.8,1.6
DXB,ALG,105.0,5.8,5.15,5.0,4.75
DXB,AMM,65.0,4.15,3.65,3.17,3.0
DXB,ATH,30.0,4.0,2.2,2.2,2.2
DXB,BCN,40.0,4.32,2.1,2.0,1.85
DXB,BEY,55.0,5.75,1.9,1.9,1.9
DXB,CAI,60.0,4.05,3.45,3.0,2.78
DXB,CMN,70.0,4.5,4.0,3.7,3.6
DXB,FCO,60.0,4.2,3.0,3.0,3.0
DXB,IST,75.0,6.53,4.5,3.6,3.38
DXB,LIS,45.0,9.45,3.0,3.0,3.0
DXB,MAD,45.0,5.55,2.6,2.6,2.1
DXB,MLA,37.0,7.0,3.3,3.15,2.89
DXB,MRS,60.0,4.8,3.0,3.0,2.5
DXB,NKC,105.0,6.75,6.0,6.0,5.5
DXB,TLV,125.0,7.0,6.15,6.0,5.5
DXB,TUN,60.0,4.8,3.0,3.0,2.5
DXB,TIP,100.0,5.9,2.6,2.15,2.0
DXB,VLC,56.0,6.5,3.25,3.25,2.63
DXB,BKK,40.0,3.5,2.5,2.0,1.9
DXB,BOM,49.0,3.25,1.35,1.35,1.35
DXB,JED,40.0,2.7,2.5,2.25,2.1
DXB,PUS,40.0,3.5,2.1,1.8,1.6
DXB,HKG,40.0,3.5,2.1,1.8,1.6
DXB,TIA,40.0,3.5,2.1,1.8,1.6
